station_name,latitude,longitude
五龙背东,40.26337778,124.281775
井亭,34.856732,117.218685
井冈山,26.731009,114.292525
井南,37.9918236,114.0105968
井口,29.656735,106.455029
井头墟,26.3972,111.4005
井店,36.604896,113.715463
井湾,22.11228,113.48058
井陉,38.0341984,114.1307946
井陉北,38.15174444,114.0194694
亚复,44.0642,126.532
亚布力,44.92685922,128.608674
亚布力南,44.78983569,128.4826655
亚布力西,44.90804,128.580594
亚沟,45.480295,127.070117
亚河,45.3951063,130.422929
亚龙湾,18.304444,109.597778
亢村,35.14111111,113.72
交口,34.725089,111.271627
交城,37.520326,112.189497
亦庄,39.8119,116.596
京山,31.03888889,113.1308333
京山南,30.82685833,112.9729278
京津所,39.182063,117.049056
亭亮,22.2195,107.1843
亭塘,23.20651,103.74562
亭林,30.897016,121.353985
亲睦村,24.82979,109.99495
亳州,33.84916667,115.7925
亳州南,33.795525,115.792092
什邡西,31.12325924,104.11822
什里店,36.68978611,113.9371167
仁和,26.7039463,100.2654516
仁寿村,23.6915902,102.5675346
仁布,29.313505,89.8125686
介休,37.0189,111.912
介休东,37.05266667,111.9815556
从江,25.91194444,109.1101389
仑苍,25.028095,118.287272
仓前,30.296541,119.983091
他石海,45.56255,124.300637
他郎河,23.32325389,101.6782569
付村,34.183394,108.864566
付楼,36.35805556,115.8775
仙人桥,42.1737335,127.2341036
仙人洞,39.9453407,123.0132776
仙塘,23.80666667,114.7466667
仙居,28.825091,120.639802
仙居南,28.823448,120.748464
仙店,27.555679,117.985222
仙村,23.174894,113.706463
仙林,32.12505556,118.9072861
仙桃,30.32321111,113.5014222
仙桃西,30.42771944,113.1339056
仙水,27.1664363,103.8340919
仙游,25.25347222,118.8666667
代县,39.07611111,112.9777778
代家坝,33.01103,106.16046
代湾,29.314281,103.458266
以勒,27.5837318,105.1187718
仪征,32.316035,119.144673
仪陇,31.2621503,106.3102387
仲恺,23.03026389,114.2617444
任丘,38.69305556,116.1388889
任家湾,34.34083333,107.1011583
任祥屯,35.68277778,115.9213889
伊列克得,48.8460163,121.5883427
伊图塔,45.2930403,119.3160043
伊图里河,50.627514,121.544722
